fips_cd,state_cd,county_name,pct_bach_higher_18_22
01001,AL,Autauga County,29.6
01003,AL,Baldwin County,32.6
01005,AL,Barbour County,11.9
01007,AL,Bibb County,10.9
01009,AL,Blount County,14.7
01011,AL,Bullock County,9.4
01013,AL,Butler County,13
01015,AL,Calhoun County,19.2
01017,AL,Chambers County,12.7
01019,AL,Cherokee County,14.6
01021,AL,Chilton County,14
01023,AL,Choctaw County,13
01025,AL,Clarke County,13.8
01027,AL,Clay County,12.8
01029,AL,Cleburne County,16.5
01031,AL,Coffee County,21.6
01033,AL,Colbert County,18
01035,AL,Conecuh County,13.3
01037,AL,Coosa County,10.6
01039,AL,Covington County,16.3
01041,AL,Crenshaw County,17.2
01043,AL,Cullman County,18.3
01045,AL,Dale County,19.2
01047,AL,Dallas County,15.7
01049,AL,DeKalb County,14.1
01051,AL,Elmore County,24.2
01053,AL,Escambia County,12.6
01055,AL,Etowah County,17.7
01057,AL,Fayette County,13
01059,AL,Franklin County,14.8
01061,AL,Geneva County,13.9
01063,AL,Greene County,16.7
01065,AL,Hale County,16.4
01067,AL,Henry County,21
01069,AL,Houston County,22.5
01071,AL,Jackson County,16.2
01073,AL,Jefferson County,35.6
01075,AL,Lamar County,10.2
01077,AL,Lauderdale County,25.8
01079,AL,Lawrence County,15.8
01081,AL,Lee County,40.2
01083,AL,Limestone County,29.5
01085,AL,Lowndes County,16.3
01087,AL,Macon County,20.6
01089,AL,Madison County,45.1
01091,AL,Marengo County,22
01093,AL,Marion County,11.8
01095,AL,Marshall County,21.4
01097,AL,Mobile County,24.2
01099,AL,Monroe County,13.5
01101,AL,Montgomery County,33.7
01103,AL,Morgan County,23.8
01105,AL,Perry County,15.2
01107,AL,Pickens County,14.5
01109,AL,Pike County,27.7
01111,AL,Randolph County,18.8
01113,AL,Russell County,16.4
01115,AL,St. Clair County,19.3
01117,AL,Shelby County,45.6
01119,AL,Sumter County,21.8
01121,AL,Talladega County,16.6
01123,AL,Tallapoosa County,18.2
01125,AL,Tuscaloosa County,30.9
01127,AL,Walker County,15.3
01129,AL,Washington County,14.2
01131,AL,Wilcox County,11.6
01133,AL,Winston County,13.8
04001,AZ,Apache County,13.8
04003,AZ,Cochise County,26.7
04005,AZ,Coconino County,39.6
04007,AZ,Gila County,18.1
04009,AZ,Graham County,14
04011,AZ,Greenlee County,16.7
04012,AZ,La Paz County,12.4
04013,AZ,Maricopa County,35
04015,AZ,Mohave County,14.4
04017,AZ,Navajo County,17.3
04019,AZ,Pima County,35
04021,AZ,Pinal County,21.4
04023,AZ,Santa Cruz County,23.5
04025,AZ,Yavapai County,28.7
04027,AZ,Yuma County,16.4
05001,AR,Arkansas County,15.8
05003,AR,Ashley County,11.6
05005,AR,Baxter County,18.2
05007,AR,Benton County,35.5
05009,AR,Boone County,16.6
05011,AR,Bradley County,12.5
05013,AR,Calhoun County,12.5
05015,AR,Carroll County,21.4
05017,AR,Chicot County,17.6
05019,AR,Clark County,26.4
05021,AR,Clay County,15.4
05023,AR,Cleburne County,17.2
05025,AR,Cleveland County,15.9
05027,AR,Columbia County,19
05029,AR,Conway County,19.1
05031,AR,Craighead County,28.2
05033,AR,Crawford County,20.3
05035,AR,Crittenden County,17.6
05037,AR,Cross County,16.1
05039,AR,Dallas County,13
05041,AR,Desha County,13.1
05043,AR,Drew County,25
05045,AR,Faulkner County,32.5
05047,AR,Franklin County,12.3
05049,AR,Fulton County,14.4
05051,AR,Garland County,25.2
05053,AR,Grant County,18.8
05055,AR,Greene County,16.6
05057,AR,Hempstead County,15.8
05059,AR,Hot Spring County,15.5
05061,AR,Howard County,15
05063,AR,Independence County,17.1
05065,AR,Izard County,18.9
05067,AR,Jackson County,11.9
05069,AR,Jefferson County,20.2
05071,AR,Johnson County,15
05073,AR,Lafayette County,10.6
05075,AR,Lawrence County,12.9
05077,AR,Lee County,7.7
05079,AR,Lincoln County,8.1
05081,AR,Little River County,15.9
05083,AR,Logan County,14.3
05085,AR,Lonoke County,19.9
05087,AR,Madison County,12.3
05089,AR,Marion County,15.2
05091,AR,Miller County,15.6
05093,AR,Mississippi County,14.8
05095,AR,Monroe County,14.2
05097,AR,Montgomery County,16.4
05099,AR,Nevada County,10.9
05101,AR,Newton County,14.8
05103,AR,Ouachita County,15
05105,AR,Perry County,15.2
05107,AR,Phillips County,15.2
05109,AR,Pike County,18.5
05111,AR,Poinsett County,11.5
05113,AR,Polk County,16.3
05115,AR,Pope County,23.9
05117,AR,Prairie County,16
05119,AR,Pulaski County,37
05121,AR,Randolph County,15.5
05123,AR,St. Francis County,13.3
05125,AR,Saline County,28.5
05127,AR,Scott County,12
05129,AR,Searcy County,14.9
05131,AR,Sebastian County,23.9
05133,AR,Sevier County,11.7
05135,AR,Sharp County,11.5
05137,AR,Stone County,14.4
05139,AR,Union County,18.5
05141,AR,Van Buren County,16.8
05143,AR,Washington County,34.5
05145,AR,White County,20.5
05147,AR,Woodruff County,16.5
05149,AR,Yell County,13.8
06001,CA,Alameda County,50.9
06003,CA,Alpine County,39.6
06005,CA,Amador County,20.6
06007,CA,Butte County,30.8
06009,CA,Calaveras County,21.4
06011,CA,Colusa County,14.3
06013,CA,Contra Costa County,44.5
06015,CA,Del Norte County,17.7
06017,CA,El Dorado County,38
06019,CA,Fresno County,23.4
06021,CA,Glenn County,14.9
06023,CA,Humboldt County,31.1
06025,CA,Imperial County,15.9
06027,CA,Inyo County,29
06029,CA,Kern County,18.3
06031,CA,Kings County,14.7
06033,CA,Lake County,18.2
06035,CA,Lassen County,12.1
06037,CA,Los Angeles County,34.6
06039,CA,Madera County,17.2
06041,CA,Marin County,61.1
06043,CA,Mariposa County,28.9
06045,CA,Mendocino County,24
06047,CA,Merced County,14.6
06049,CA,Modoc County,23.8
06051,CA,Mono County,31.7
06053,CA,Monterey County,27.1
06055,CA,Napa County,37.8
06057,CA,Nevada County,38.8
06059,CA,Orange County,42.8
06061,CA,Placer County,42.4
06063,CA,Plumas County,21.2
06065,CA,Riverside County,24.1
06067,CA,Sacramento County,32.6
06069,CA,San Benito County,22
06071,CA,San Bernardino County,22.4
06073,CA,San Diego County,41
06075,CA,San Francisco County,59.8
06077,CA,San Joaquin County,20.3
06079,CA,San Luis Obispo County,38
06081,CA,San Mateo County,52.9
06083,CA,Santa Barbara County,35.7
06085,CA,Santa Clara County,55.3
06087,CA,Santa Cruz County,42.5
06089,CA,Shasta County,22.8
06091,CA,Sierra County,23.9
06093,CA,Siskiyou County,22
06095,CA,Solano County,28.2
06097,CA,Sonoma County,37.8
06099,CA,Stanislaus County,18.2
06101,CA,Sutter County,20.6
06103,CA,Tehama County,18.2
06105,CA,Trinity County,19.2
06107,CA,Tulare County,15.6
06109,CA,Tuolumne County,24.4
06111,CA,Ventura County,34.7
06113,CA,Yolo County,43.3
06115,CA,Yuba County,17.4
08001,CO,Adams County,27.2
08003,CO,Alamosa County,28.2
08005,CO,Arapahoe County,44.9
08007,CO,Archuleta County,39.4
08009,CO,Baca County,24.4
08011,CO,Bent County,15.5
08013,CO,Boulder County,63.2
08014,CO,Broomfield County,58.4
08015,CO,Chaffee County,41.4
08017,CO,Cheyenne County,23.4
08019,CO,Clear Creek County,55
08021,CO,Conejos County,24.6
08023,CO,Costilla County,23.7
08025,CO,Crowley County,12.7
08027,CO,Custer County,36.5
08029,CO,Delta County,24.5
08031,CO,Denver County,54.2
08033,CO,Dolores County,26.3
08035,CO,Douglas County,60
08037,CO,Eagle County,51.8
08039,CO,Elbert County,35.6
08041,CO,El Paso County,40.2
08043,CO,Fremont County,20.2
08045,CO,Garfield County,33.7
08047,CO,Gilpin County,43.9
08049,CO,Grand County,37.8
08051,CO,Gunnison County,59.3
08053,CO,Hinsdale County,44.6
08055,CO,Huerfano County,26.1
08057,CO,Jackson County,27.5
08059,CO,Jefferson County,49.1
08061,CO,Kiowa County,18
08063,CO,Kit Carson County,18
08065,CO,Lake County,39.2
08067,CO,La Plata County,47
08069,CO,Larimer County,50.9
08071,CO,Las Animas County,16.5
08073,CO,Lincoln County,22.7
08075,CO,Logan County,19.7
08077,CO,Mesa County,30
08079,CO,Mineral County,57.7
08081,CO,Moffat County,20.5
08083,CO,Montezuma County,30.1
08085,CO,Montrose County,27.7
08087,CO,Morgan County,17.7
08089,CO,Otero County,18.3
08091,CO,Ouray County,49.6
08093,CO,Park County,35.5
08095,CO,Phillips County,26.3
08097,CO,Pitkin County,63.1
08099,CO,Prowers County,18.2
08101,CO,Pueblo County,24.1
08103,CO,Rio Blanco County,23.8
08105,CO,Rio Grande County,31.3
08107,CO,Routt County,50
08109,CO,Saguache County,24.4
08111,CO,San Juan County,41.7
08113,CO,San Miguel County,62.2
08115,CO,Sedgwick County,26.5
08117,CO,Summit County,52.3
08119,CO,Teller County,38
08121,CO,Washington County,24.5
08123,CO,Weld County,30.7
08125,CO,Yuma County,24.4
09001,CT,Fairfield County,
09003,CT,Hartford County,
09005,CT,Litchfield County,
09007,CT,Middlesex County,
09009,CT,New Haven County,
09011,CT,New London County,
09013,CT,Tolland County,
09015,CT,Windham County,
09110,CT,"Capitol Planning Region, Connecticut",41.1
09120,CT,"Greater Bridgeport Planning Region, Connecticut",41.7
09130,CT,"Lower Connecticut River Valley Planning Region, Connecticut",45.3
09140,CT,"Naugatuck Valley Planning Region, Connecticut",33.3
09150,CT,"Northeastern Connecticut Planning Region, Connecticut",25
09160,CT,"Northwest Hills Planning Region, Connecticut",37.9
09170,CT,"South Central Connecticut Planning Region, Connecticut",40.4
09180,CT,"Southeastern Connecticut Planning Region, Connecticut",33.8
09190,CT,"Western Connecticut Planning Region, Connecticut",54.2
