fips_cd,county_name,proj_X,proj_Y,total_pop,new_pct_dem,sex_ratio,pct_black,pct_hisp,pct_bach,pct_65_over,pct_age_18_29,gini_old,pct_manuf,ln_pop_den,pct_fb,pct_uninsured
45001,"Abbeville County, South Carolina",1233904.427,1327933.576,24627,33.29814875,94.1,27.6,1.5,15.6,21.1,15.11349332,0.479,23.7,3.873096986,1.8,11.1
22001,"Acadia Parish, Louisiana",344553.8048,808141.3014,62457,19.41224723,95.1,17.4,2.6,13.3,14.9,14.93347423,0.4791,9.5,4.55502521,1.3,10.6
51001,"Accomack County, Virginia",1763272.516,1826266.62,32673,45.24179104,95.2,28.6,9,19.5,22.7,11.97318887,0.448,19.6,4.014443501,7.7,16.6
16001,"Ada County, Idaho",-1618321.17,2446011.939,456849,47.97801288,100.4,1.4,8.2,38.5,14,15.77370203,0.4615,8.7,6.06683629,5.8,8.3
19001,"Adair County, Iowa",126979.73,2037042.987,7085,29.09577054,97.9,0.6,2.1,18.5,22.1,11.74311927,0.4298,14.7,2.51872154,1.6,4.4
21001,"Adair County, Kentucky",941700.8,1615562.7,19222,16.05906784,98.5,3.1,2,15.7,18.6,18.15627926,0.4777,16.1,3.844079449,1.6,5.4
29001,"Adair County, Missouri",286828.6436,1913466.126,25369,36.69770206,94.4,2.7,2.5,31,14.4,33.64736489,0.5137,8.4,3.79444867,4.1,7.9
40001,"Adair County, Oklahoma",120019.6932,1426581.916,22220,19.89386116,99,0.2,6.8,11.6,15.2,14.70747075,0.4472,23.1,3.65156666,1.8,27
8001,"Adams County, Colorado",-705908.0571,1903866.061,504108,58.38448788,102,3.4,40,24.3,10.1,16.74581637,0.4052,7.9,6.053588467,15.3,10.1
16003,"Adams County, Idaho",-1600818.676,2606270.108,4097,23.34123223,106.4,0.4,3.6,21.2,29.5,9.226263119,0.4392,8.2,1.094617034,1.2,12
17001,"Adams County, Illinois",407066.4993,1895954.757,66085,26.20489297,95.5,4.1,1.6,25,20,13.91995158,0.4503,12.6,4.329521927,1.4,4.7
18001,"Adams County, Indiana",924399.3799,2024380.498,35376,23.2454565,99.6,1.1,4.5,15.5,15.1,14.67379014,0.4228,31.2,4.643671329,0.9,19.2
19003,"Adams County, Iowa",108486.6844,2002989.546,3670,27.85646837,99.5,0.1,1.3,15.6,22.8,11.90735695,0.4291,18.8,2.155388492,0.6,5.8
28001,"Adams County, Mississippi",439598.7854,944804.3276,31266,58.15764343,106.6,56.3,5.8,17.4,18.3,14.36704407,0.5216,6.4,4.164645433,8,15.1
31001,"Adams County, Nebraska",-210085.38,1948506.423,31587,29.46565953,100.7,0.6,10.3,24.3,17.7,16.92151835,0.4435,15.3,4.024957223,6.2,7.5
38001,"Adams County, North Dakota",-505289.6103,2584999.077,2311,20.82324455,91.8,2.1,1.7,25.6,24.4,10.99091302,0.4448,5.3,0.847938799,1.9,10.2
39001,"Adams County, Ohio",1074057.414,1828471.485,27776,17.92782305,99.1,0.5,1,13.2,17.5,13.29205069,0.4815,15.7,3.862163097,0.5,7.6
42001,"Adams County, Pennsylvania",1581875.064,2029400.655,102470,32.67001615,97,1.4,7.1,22.3,19.8,14.97023519,0.3945,16.9,5.281013155,4.1,5.6
53001,"Adams County, Washington",-1708067.097,2869607.349,19594,31.7077434,103.8,1,63.6,14.3,10.9,16.61733184,0.4486,13.9,2.318986592,24.5,16.5
55001,"Adams County, Wisconsin",497718.7406,2347198.406,20094,37.02848345,115.9,2.7,3.9,13.9,28.7,9.624763611,0.4238,16,3.377035439,2.9,5.5
50001,"Addison County, Vermont",1808452.304,2556290.317,36882,70.40312338,98.5,1.5,2.3,39.6,19.2,18.7191584,0.4068,10.3,3.819101887,4.8,4.3
45003,"Aiken County, South Carolina",1319829.221,1263986.576,168301,38.48492798,93.3,25,5.7,26.4,18.7,14.59765539,0.455,14.1,5.048094755,4.5,10.2
27001,"Aitkin County, Minnesota",198632.7561,2626877.29,15834,36.56360872,103.3,0.5,1.4,18.1,32.5,8.810155362,0.4254,10,2.0717825,1.2,4.1
12001,"Alachua County, Florida",1315491.855,827927.3613,265443,63.76638517,93.4,20.1,9.9,43.3,13.7,29.83163994,0.5111,3.3,5.613784861,10.5,8.4
37001,"Alamance County, North Carolina",1474728.082,1572762.377,163324,45.7405073,90.4,19.5,12.6,24.8,16.6,16.71217947,0.4533,15.3,5.932124,7.9,11.2
6001,"Alameda County, California",-2234723.203,1929488.47,1656754,81.92468331,96.7,10.6,22.4,47.4,13.5,16.68956284,0.4616,9.8,7.698283174,32.5,4.4
8003,"Alamosa County, Colorado",-854832.5112,1658999.349,16107,49.64342314,100.1,0.9,46.8,25,13.2,23.37493015,0.487,2.3,3.105940776,9.1,12.2
36001,"Albany County, New York",1780443.169,2385249.289,306968,61.62817134,93.9,12.4,6,41.8,16.5,21.42307993,0.46,5,6.354575431,10.9,3.1
56001,"Albany County, Wyoming",-802548.1085,2113096.811,38390,51.45153076,108,1.7,9.5,51.8,11.3,38.31727012,0.4697,2.6,2.187813465,7.3,8.2
51003,"Albemarle County, Virginia",1508273.528,1804178.516,107405,67.11869765,91.7,9.5,5.8,55.1,18,18.40044691,0.4794,4.2,4.99743102,10.4,6.7
26001,"Alcona County, Michigan",978692.3551,2474617.055,10353,30.64377682,102.3,0.4,1.5,16.9,35.8,8.190862552,0.4286,16.3,2.703335959,1.1,4.6
28003,"Alcorn County, Mississippi",671996.7365,1339724.687,37090,17.83333333,96.5,12.1,3.2,17.1,18.2,13.90940954,0.4654,25.7,4.525065169,1.4,13.7
17003,"Alexander County, Illinois",585384.5874,1592747.724,6260,42.84615385,91.5,33.5,1.3,12.9,21.3,11.61341853,0.4413,8.7,3.208696385,0.3,7.7
37003,"Alexander County, North Carolina",1320295.845,1533038.997,37213,20.69086008,103.7,5.8,4.7,14.2,19.5,13.43616478,0.4661,31.8,4.947860911,3.3,8.9
51510,"Alexandria city, Virginia",1616375.556,1915884.153,157613,81.99643494,93,21.8,16.7,63.1,11.3,15.70746068,0.4472,2.6,9.243936137,27.2,10.9
40003,"Alfalfa County, Oklahoma",-205403.4672,1523098.114,5847,10.49773756,152.5,3.1,5.6,21.8,19.2,10.87737301,0.4579,2.9,1.893791192,3.4,12.3
