fips_cd,geo_id,county_name,sex_ratio17_21,median_age17_21,pct_blck17_21,pct_hisplat17_21
01001,0500000US01001,"Autauga County, Alabama",93.9,38.5,19.694706296468,3.04778584797129
01003,0500000US01003,"Baldwin County, Alabama",95.2,43.4,8.75926227595529,4.68187962013111
01005,0500000US01005,"Barbour County, Alabama",112.3,40.2,47.4484342214656,4.65576626153054
01007,0500000US01007,"Bibb County, Alabama",121.6,39.7,22.3228627520971,2.82884169195074
01009,0500000US01009,"Blount County, Alabama",100.6,41.1,1.29067318796277,9.53060254058827
01011,0500000US01011,"Bullock County, Alabama",119.7,38.7,68.9774696707106,8.54997111496245
01013,0500000US01013,"Butler County, Alabama",87.9,41.2,44.7943277201397,1.60575569574058
01015,0500000US01015,"Calhoun County, Alabama",92.9,39.7,21.4876529954907,3.99398754563023
01017,0500000US01017,"Chambers County, Alabama",92.4,42,40.1245909169203,2.71573749784693
01019,0500000US01019,"Cherokee County, Alabama",97.9,46.7,4.67267267267267,1.76976976976977
01021,0500000US01021,"Chilton County, Alabama",95.2,39.8,8.82582428606461,7.95193615266291
01023,0500000US01023,"Choctaw County, Alabama",91.1,46.5,41.307066916823,1.07879924953096
01025,0500000US01025,"Clarke County, Alabama",91.3,42.6,45.3739398612182,1.39638481966932
01027,0500000US01027,"Clay County, Alabama",97,43.3,13.275521714608,3.12323745064862
01029,0500000US01029,"Cleburne County, Alabama",96,41.9,2.59869732819354,2.6452213212814
01031,0500000US01031,"Coffee County, Alabama",98.8,39.1,16.9522839960032,8.07269573742058
01033,0500000US01033,"Colbert County, Alabama",94.6,42.1,16.3781718290514,3.08158270087517
01035,0500000US01035,"Conecuh County, Alabama",95.4,45.4,48.0896586856852,0.135846493462388
01037,0500000US01037,"Coosa County, Alabama",108.2,49.8,30.6837770542042,2.62401838728213
01039,0500000US01039,"Covington County, Alabama",95,42.9,12.3259535876234,1.84849293144839
01041,0500000US01041,"Crenshaw County, Alabama",94.4,42.1,24.4962406015038,0.834586466165414
01043,0500000US01043,"Cullman County, Alabama",98.1,41.2,1.12362129715709,4.52088282890886
01045,0500000US01045,"Dale County, Alabama",99.3,37.9,20.7026272677629,6.87660538397751
01047,0500000US01047,"Dallas County, Alabama",86.3,39.7,71.7098207445994,0.13278177825443
01049,0500000US01049,"DeKalb County, Alabama",99.2,39.7,1.5568661430528,15.1466025658943
01051,0500000US01051,"Elmore County, Alabama",95,39,20.8271177105088,3.074151424047
01053,0500000US01053,"Escambia County, Alabama",104.7,39.9,31.1911928197619,2.51091407033813
01055,0500000US01055,"Etowah County, Alabama",93.9,41.5,15.5545675957784,4.26798623729076
01057,0500000US01057,"Fayette County, Alabama",99,43.6,12.7467155514818,0.543843568591506
01059,0500000US01059,"Franklin County, Alabama",98.5,39,4.37347817943435,18.1838047074983
01061,0500000US01061,"Geneva County, Alabama",96.8,43.3,9.61509547436476,4.26251691474966
01063,0500000US01063,"Greene County, Alabama",92.5,44,79.1873646669214,2.56018341612533
01065,0500000US01065,"Hale County, Alabama",91.2,41,58.97833861934,0.0742290302989406
01067,0500000US01067,"Henry County, Alabama",91.4,44.6,26.5948150305855,2.73812991552578
01069,0500000US01069,"Houston County, Alabama",93,40.4,27.3010201683043,3.477034460063
01071,0500000US01071,"Jackson County, Alabama",97.6,43.2,3.53962091801781,3.13998629824161
01073,0500000US01073,"Jefferson County, Alabama",90.5,37.9,42.8732436250093,4.05040517433648
01075,0500000US01075,"Lamar County, Alabama",98.5,44.6,11.1206834661498,1.02663507789504
01077,0500000US01077,"Lauderdale County, Alabama",93.3,40.7,9.98478712690964,2.89044588716762
01079,0500000US01079,"Lawrence County, Alabama",94,42.8,10.4354921575146,2.40865544440751
01081,0500000US01081,"Lee County, Alabama",97.6,33,22.3535764677192,3.8014667030536
01083,0500000US01083,"Limestone County, Alabama",100.6,40.2,13.0985901577798,6.18176788484148
01085,0500000US01085,"Lowndes County, Alabama",92.5,42.5,74.8113024966131,0.193535900909619
01087,0500000US01087,"Macon County, Alabama",85.2,39.3,81.0312981015906,0.528476141611083
01089,0500000US01089,"Madison County, Alabama",96.8,38.6,24.2818900481226,5.18358022656084
01091,0500000US01091,"Marengo County, Alabama",92.6,41.7,51.255348765273,2.75300304170748
01093,0500000US01093,"Marion County, Alabama",99.1,44.4,3.97387044093631,2.62316276537833
01095,0500000US01095,"Marshall County, Alabama",98.8,39,2.91420986015497,14.6646909311683
01097,0500000US01097,"Mobile County, Alabama",91.8,38.3,36.064348077758,2.97091312527133
01099,0500000US01099,"Monroe County, Alabama",91.7,43.6,42.167536664181,0.362913248819289
01101,0500000US01101,"Montgomery County, Alabama",89.8,36.8,58.5008207026612,3.66304044143326
01103,0500000US01103,"Morgan County, Alabama",97.9,40.6,13.0701096176432,8.65359519770325
01105,0500000US01105,"Perry County, Alabama",85.5,38.8,70.133302689037,1.0112617789014
01107,0500000US01107,"Pickens County, Alabama",91.4,43,40.1403326403326,5.15072765072765
01109,0500000US01109,"Pike County, Alabama",92.2,31.9,36.5173619483964,2.36616831444418
01111,0500000US01111,"Randolph County, Alabama",95.8,44.1,18.5589519650655,2.91575691411936
01113,0500000US01113,"Russell County, Alabama",93.4,37.1,44.7124968055201,5.73984155379504
01115,0500000US01115,"St. Clair County, Alabama",100.1,40.5,9.52307215856302,2.50298632924833
01117,0500000US01117,"Shelby County, Alabama",94.4,39.7,12.5726968022466,5.80940302563638
01119,0500000US01119,"Sumter County, Alabama",85.4,35.8,71.2946643166159,1.21775356513379
01121,0500000US01121,"Talladega County, Alabama",93.7,41.7,32.2162492364081,2.44838118509469
01123,0500000US01123,"Tallapoosa County, Alabama",95.6,45.1,27.2793333979266,2.46100184090689
01125,0500000US01125,"Tuscaloosa County, Alabama",93.8,33.6,32.2463104780192,3.94829087499163
01127,0500000US01127,"Walker County, Alabama",98,41.7,5.87630763567199,2.69196551829923
01129,0500000US01129,"Washington County, Alabama",106.1,43.9,23.8089122897136,1.05945807114421
01131,0500000US01131,"Wilcox County, Alabama",86.5,40.8,70.8497099008048,0.542766236196893
01133,0500000US01133,"Winston County, Alabama",100,45.4,0.917547568710359,3.17124735729387
02013,0500000US02013,"Aleutians East Borough, Alaska",144.4,43.2,2.08272220592549,10.5309474919331
02016,0500000US02016,"Aleutians West Census Area, Alaska",132.8,39.4,3.46600647495715,9.73147971814892
02020,0500000US02020,"Anchorage Municipality, Alaska",104.7,34.3,5.35575723392982,9.49700046146747
02050,0500000US02050,"Bethel Census Area, Alaska",110.6,28.6,0.92362536458896,2.06870476396241
02060,0500000US02060,"Bristol Bay Borough, Alaska",130.1,39.9,0.588928150765607,12.8386336866902
02063,0500000US02063,"Chugach Census Area, Alaska",107.9,38.1,1.6535994297933,5.97291518175339
