fips_cd,state_cd,county_name,tot_all_age_poverty21,pct_all_age_poverty21,med_income21
01001,AL,Autauga County,6296,10.7,66444
01003,AL,Baldwin County,25526,10.8,65658
01005,AL,Barbour County,5089,23,38649
01007,AL,Bibb County,4204,20.6,48454
01009,AL,Blount County,6992,12,56894
01011,AL,Bullock County,2764,32.1,32027
01013,AL,Butler County,4226,22.7,39442
01015,AL,Calhoun County,21630,19.2,48166
01017,AL,Chambers County,6699,19.7,45447
01019,AL,Cherokee County,4513,18.2,46365
01021,AL,Chilton County,6973,15.5,55142
01023,AL,Choctaw County,2893,23.3,40601
01025,AL,Clarke County,4366,19.4,45447
01027,AL,Clay County,2560,18.4,47036
01029,AL,Cleburne County,2236,15,49769
01031,AL,Coffee County,8516,15.9,55052
01033,AL,Colbert County,9396,16.5,53341
01035,AL,Conecuh County,2528,22.4,35621
01037,AL,Coosa County,1754,17.1,45954
01039,AL,Covington County,7317,19.8,44188
01041,AL,Crenshaw County,2267,17.5,38037
01043,AL,Cullman County,11898,13.5,55036
01045,AL,Dale County,7587,15.7,50086
01047,AL,Dallas County,10914,29.5,33159
01049,AL,DeKalb County,13783,19.4,45062
01051,AL,Elmore County,10138,12,63147
01053,AL,Escambia County,8147,23.8,40506
01055,AL,Etowah County,17605,17.4,46308
01057,AL,Fayette County,3123,19.6,46122
01059,AL,Franklin County,5995,18.9,45440
01061,AL,Geneva County,5566,21.1,43206
01063,AL,Greene County,2520,33.2,30225
01065,AL,Hale County,3221,22.1,41995
01067,AL,Henry County,2694,15.6,56389
01069,AL,Houston County,20210,19.1,48701
01071,AL,Jackson County,9851,18.9,46998
01073,AL,Jefferson County,110131,16.9,55210
01075,AL,Lamar County,2300,17,44265
01077,AL,Lauderdale County,14838,16.2,52222
01079,AL,Lawrence County,4566,13.9,55555
01081,AL,Lee County,30989,18,54188
01083,AL,Limestone County,10363,9.9,69207
01085,AL,Lowndes County,2786,28.3,36993
01087,AL,Macon County,4725,27.5,35354
01089,AL,Madison County,39316,10.2,78386
01091,AL,Marengo County,4602,24.6,42048
01093,AL,Marion County,5209,18.3,44636
01095,AL,Marshall County,15145,15.6,50858
01097,AL,Mobile County,74061,18.2,49848
01099,AL,Monroe County,4349,22.3,40997
01101,AL,Montgomery County,47309,21.7,50645
01103,AL,Morgan County,16459,13.5,56340
01105,AL,Perry County,2591,33.7,31522
01107,AL,Pickens County,3591,21.1,43926
01109,AL,Pike County,7429,23.9,38945
01111,AL,Randolph County,4652,21.5,45889
01113,AL,Russell County,12620,21.7,44849
01115,AL,St. Clair County,11652,12.8,63015
01117,AL,Shelby County,17306,7.7,85457
01119,AL,Sumter County,4005,35.1,29490
01121,AL,Talladega County,14936,19.1,47331
01123,AL,Tallapoosa County,7420,18.3,47444
01125,AL,Tuscaloosa County,31735,14.7,56274
01127,AL,Walker County,12877,20.2,46343
01129,AL,Washington County,3091,20.6,49795
01131,AL,Wilcox County,3340,32.4,30071
01133,AL,Winston County,4455,19,47176
04001,AZ,Apache County,18422,28.4,41002
04003,AZ,Cochise County,20618,17.1,55748
04005,AZ,Coconino County,22677,16.9,63829
04007,AZ,Gila County,8900,16.8,52665
04009,AZ,Graham County,7385,20.4,52644
04011,AZ,Greenlee County,886,9.5,71669
04012,AZ,La Paz County,3303,20.3,44330
04013,AZ,Maricopa County,502224,11.3,76230
04015,AZ,Mohave County,38383,18,48169
04017,AZ,Navajo County,26324,24.8,49057
04019,AZ,Pima County,151169,14.7,60604
04021,AZ,Pinal County,45630,10.7,70835
04023,AZ,Santa Cruz County,9723,20.4,49216
04025,AZ,Yavapai County,29766,12.5,57676
04027,AZ,Yuma County,34270,17.3,55991
05001,AR,Arkansas County,2923,17.7,50928
05003,AR,Ashley County,3950,21.3,44030
05005,AR,Baxter County,5565,13.4,45116
05007,AR,Benton County,22890,7.9,78974
05009,AR,Boone County,4860,13,48700
05011,AR,Bradley County,2011,19.6,40454
05013,AR,Calhoun County,672,14.6,49977
05015,AR,Carroll County,4717,16.8,49225
05017,AR,Chicot County,2594,27.9,34857
05019,AR,Clark County,3699,20,47158
05021,AR,Clay County,2543,17.9,41419
05023,AR,Cleburne County,4109,16.7,50200
05025,AR,Cleveland County,1054,14.1,53705
05027,AR,Columbia County,4777,23.2,44651
05029,AR,Conway County,3494,16.9,47741
05031,AR,Craighead County,19674,18.2,52490
05033,AR,Crawford County,8790,14.7,54065
05035,AR,Crittenden County,10706,23,43821
05037,AR,Cross County,2738,16.7,45262
05039,AR,Dallas County,1213,20.2,42442
05041,AR,Desha County,3032,27.6,39042
05043,AR,Drew County,2715,16.5,46572
05045,AR,Faulkner County,16486,13.6,57573
05047,AR,Franklin County,2908,17.2,47834
05049,AR,Fulton County,2157,18,41557
05051,AR,Garland County,14319,14.5,48053
05053,AR,Grant County,2017,11.2,67088
05055,AR,Greene County,5898,12.9,53920
05057,AR,Hempstead County,4125,21.2,41281
05059,AR,Hot Spring County,5521,17.8,51662
05061,AR,Howard County,2245,17.9,42733
05063,AR,Independence County,6924,18.9,48957
05065,AR,Izard County,2384,18.4,40788
05067,AR,Jackson County,3316,22.5,37815
05069,AR,Jefferson County,12258,20.3,46100
05071,AR,Johnson County,4570,18.1,43003
05073,AR,Lafayette County,1448,23.7,38777
05075,AR,Lawrence County,3193,20.4,44661
05077,AR,Lee County,2448,34.9,29714
05079,AR,Lincoln County,2160,22.6,45435
05081,AR,Little River County,1854,15.7,46619
05083,AR,Logan County,3204,15.4,45558
05085,AR,Lonoke County,8161,11,64633
05087,AR,Madison County,2587,15.4,49691
05089,AR,Marion County,2986,17.8,42892
05091,AR,Miller County,8483,20.4,45450
05093,AR,Mississippi County,9276,23.9,41007
05095,AR,Monroe County,1667,25.3,37113
05097,AR,Montgomery County,1692,19.9,41359
05099,AR,Nevada County,1705,21.2,40283
05101,AR,Newton County,1366,19.1,41823
05103,AR,Ouachita County,4437,20.2,47169
05105,AR,Perry County,1500,15.2,51204
05107,AR,Phillips County,5623,35.7,32419
05109,AR,Pike County,1844,18.6,43710
05111,AR,Poinsett County,4948,22.2,42639
05113,AR,Polk County,3697,19.3,43166
05115,AR,Pope County,10897,18,47049
05117,AR,Prairie County,1257,15.7,59367
05119,AR,Pulaski County,68564,17.6,53597
05121,AR,Randolph County,3141,17,43484
05123,AR,St. Francis County,6108,32.2,36781
05125,AR,Saline County,10572,8.5,68107
05127,AR,Scott County,1681,17.3,39974
05129,AR,Searcy County,1633,20.9,35422
05131,AR,Sebastian County,24574,19.5,49170
05133,AR,Sevier County,2854,18.3,46651
05135,AR,Sharp County,3181,18.3,39183
05137,AR,Stone County,2567,20.8,37782
05139,AR,Union County,6726,17.8,47315
05141,AR,Van Buren County,2659,17.1,39629
05143,AR,Washington County,30035,12.4,64218
05145,AR,White County,12106,16.3,51660
05147,AR,Woodruff County,1514,25.2,37331
05149,AR,Yell County,2996,15.1,48526
06001,CA,Alameda County,152654,9.4,108971
06003,CA,Alpine County,194,15.8,87570
06005,CA,Amador County,4104,11.1,68159
06007,CA,Butte County,33874,16.6,62982
06009,CA,Calaveras County,6198,13.5,68298
06011,CA,Colusa County,2466,11.4,60725
06013,CA,Contra Costa County,100948,8.8,110595
06015,CA,Del Norte County,5368,21.4,48108
06017,CA,El Dorado County,16839,8.8,87689
06019,CA,Fresno County,193449,19.4,63140
06021,CA,Glenn County,4397,15.5,56741
06023,CA,Humboldt County,25781,19.4,53924
06025,CA,Imperial County,29738,17.3,50970
06027,CA,Inyo County,2382,12.8,62381
06029,CA,Kern County,164169,18.5,57926
06031,CA,Kings County,24295,17.7,60810
06033,CA,Lake County,11196,16.5,55801
06035,CA,Lassen County,4805,18.8,56923
06037,CA,Los Angeles County,1365808,14.1,77356
06039,CA,Madera County,31044,20.4,60241
06041,CA,Marin County,19734,7.8,118472
06043,CA,Mariposa County,2387,14.1,60377
06045,CA,Mendocino County,14539,16.1,57516
06047,CA,Merced County,61359,21.9,54703
06049,CA,Modoc County,1688,19.9,49273
06051,CA,Mono County,1278,9.8,70945
06053,CA,Monterey County,50725,12.1,81404
06055,CA,Napa County,11814,9,94127
06057,CA,Nevada County,12141,11.8,77220
06059,CA,Orange County,309402,9.9,100210
06061,CA,Placer County,26816,6.6,103588
06063,CA,Plumas County,2545,13,58154
06065,CA,Riverside County,282068,11.6,78690
06067,CA,Sacramento County,203413,13,79611
06069,CA,San Benito County,5899,8.9,95187
06071,CA,San Bernardino County,285474,13.2,74218
06073,CA,San Diego County,340522,10.7,90756
06075,CA,San Francisco County,90898,11.4,119776
06077,CA,San Joaquin County,95382,12.3,79598
06079,CA,San Luis Obispo County,35120,13.1,79688
06081,CA,San Mateo County,49900,6.8,131151
06083,CA,Santa Barbara County,65029,15.2,83185
06085,CA,Santa Clara County,128955,6.9,141161
06087,CA,Santa Cruz County,27132,10.6,90370
06089,CA,Shasta County,25141,14,60187
06091,CA,Sierra County,398,12.3,60659
06093,CA,Siskiyou County,7301,16.8,50069
06095,CA,Solano County,44037,10,87348
06097,CA,Sonoma County,43661,9.1,92999
06099,CA,Stanislaus County,76921,14.1,73151
06101,CA,Sutter County,15224,15.5,63246
06103,CA,Tehama County,10107,15.6,53654
06105,CA,Trinity County,3010,19.1,45508
06107,CA,Tulare County,88367,18.7,57398
06109,CA,Tuolumne County,6848,13.2,61396
06111,CA,Ventura County,73968,8.9,95819
06113,CA,Yolo County,30708,14.8,76247
06115,CA,Yuba County,12784,15.6,60764
08001,CO,Adams County,51680,10,80831
08003,CO,Alamosa County,2887,18.3,51009
08005,CO,Arapahoe County,56744,8.7,84308
08007,CO,Archuleta County,1556,11.4,68025
08009,CO,Baca County,697,20.3,44257
08011,CO,Bent County,1284,30,37185
08013,CO,Boulder County,34103,10.7,90327
08014,CO,Broomfield County,3680,4.9,106413
08015,CO,Chaffee County,1952,10.4,65987
08017,CO,Cheyenne County,215,12.9,58544
08019,CO,Clear Creek County,712,7.6,78312
08021,CO,Conejos County,1268,16.7,45931
08023,CO,Costilla County,835,23.1,35416
08025,CO,Crowley County,1241,37.8,38049
08027,CO,Custer County,519,10.5,63505
08029,CO,Delta County,4325,13.9,52403
08031,CO,Denver County,82086,11.7,81262
08033,CO,Dolores County,332,13.9,55157
08035,CO,Douglas County,10490,2.9,129839
08037,CO,Eagle County,3922,7.1,94928
08039,CO,Elbert County,1447,5.4,114853
08041,CO,El Paso County,68718,9.6,79094
08043,CO,Fremont County,6608,15.9,51732
